Population,Domestic,Imports,Total
209786736,437154499804,13570647662,450725147466
212345162,424447310483,16245487123,440692797606
214754648,408303465673,22459975923,430763441596
217068101,391196952717,24733051892,415930004609
219552929,390166439041,24254733538,414421172579
222003984,380712422031,20474781600,401187203631
224583123,382748665603,18493161400,401241827003
227239768,367880476823,16206169554,384086646377
229945137,357080696204,14183410908,371264347112
232458335,329491123539,12632961400,342124084939
235153929,317475052695,11764157615,329239210311
237657645,315683514293,10893776123,326577290416
240185952,310009439421,12386990662,322396430083
242542967,295476582903,14164450662,309641033564
245273438,282020020624,16175868538,298195889163
247773709,285537129046,17214155385,302751284431
249485228,273881993213,17154801323,291036794536
252063800,263359518483,17581121431,280940639914
253768092,249351495626,19823602569,269167785869
255200373,234601291857,21813751754,256415043611
256662010,235888722742,21726898662,257615621404
